"contactor","contactee","contact.rate"
"14","8",37.2992700729927
"15","8",37.5
"16","8",21.6118421052632
"17","8",18.1366459627329
"18","8",20.2777777777778
"19","8",56.5891472868217
"20","8",53.9565217391304
"25","8",11.9541484716157
"30","8",39.8665048543689
"35","8",67.3116883116883
"40","8",68.9160839160839
"45","8",62.9024943310658
"50","8",15.8008658008658
"55","8",22.4122807017544
"60","8",21.3738738738739
"65","8",19.2105263157895
"65+","8",14.1682070240296
"1","9",27.1808510638298
"2","9",21.2916666666667
"3","9",17.9929577464789
"4","9",36.5
"5","9",94.2715231788079
"6","9",99.1059602649007
"7","9",174.565217391304
"8","9",424.481481481481
"9","9",1764.60431654676
"10","9",460.052083333333
"11","9",136.526717557252
"12","9",104.9375
"13","9",89.2805755395683
"14","9",42.6277372262774
"15","9",40
"16","9",33.6184210526316
"17","9",43.0745341614907
"18","9",43.4523809523809
"19","9",16.9767441860465
"20","9",34.9130434782609
"25","9",16.735807860262
"30","9",38.0946601941748
"35","9",73.948051948052
"40","9",59.5571095571096
"45","9",41.3832199546485
"50","9",26.8614718614719
"55","9",48.8267543859649
"60","9",34.527027027027
"65","9",21.7162471395881
"65+","9",14.1682070240296
"1","10",31.063829787234
"2","10",33.4583333333333
"3","10",38.556338028169
"4","10",99.7666666666667
"5","10",77.3509933774834
"6","10",79.7682119205298
"7","10",142.826086956522
"8","10",159.518518518519
"9","10",701.115107913669
"10","10",1395.36458333333
"11","10",465.30534351145
"12","10",223.5625
"13","10",91.9064748201439
"14","10",55.9489051094891
"15","10",40
"16","10",50.4276315789474
"17","10",31.7391304347826
"18","10",14.484126984127
"19","10",36.7829457364341
"20","10",19.0434782608696
"25","10",19.1266375545852
"30","10",25.6917475728155
"35","10",57.8311688311688
"40","10",57.8554778554779
"45","10",55.453514739229
"50","10",21.3311688311688
"55","10",34.4188596491228
"60","10",17.2635135135135
"65","10",15.0343249427918
"65+","10",22.9390018484288
"1","11",58.2446808510638
"2","11",21.2916666666667
"3","11",38.556338028169
"4","11",65.7
"5","11",43.5099337748344
"6","11",53.1788079470199
"7","11",74.0579710144928
"8","11",129.777777777778
"9","11",322.985611510791
"10","11",661.5625
"11","11",1515.72519083969
"12","11",533.8125
"13","11",175.935251798561
"14","11",87.9197080291971
"15","11",57.5
"16","11",45.625
"17","11",38.5403726708075
"18","11",17.3809523809524
